codigo_pais,nom_pais,id_region,pbi
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,3,8917.67491057495
CHL,REPÚBLICA  DE  CHILE,3,15355.4797401048
PRY,REPÚBLICA  DEL  PARAGUAY,3,6153.05565720044
USA,Estados  Unidos  de  América,2,76329.5822652029
ESP,REINO  DE  ESPAÑA,6,29674.5442864413
CHN,REPÚBLICA  POPULAR  DE  CHINA,4,12720.2163182363
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,6,48717.9911402128
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA,3,3600.12163486427
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,3,20795.0423535553
TUR,República  de  Türkiye,6,10674.5041731531
IND,REPÚBLICA  DE  LA  INDIA,4,2410.88802070689
ISR,ESTADO  DE  ISRAEL,4,54930.9388075096
ECU,REPÚBLICA  DEL  ECUADOR,3,6391.28248430643
CAN,CANADÁ,2,54917.6625226262
ZAF,REPÚBLICA  DE  SUDÁFRICA,9,6766.48125429478
PER,REPÚBLICA  DEL  PERÚ,3,7125.82993135746
GBR,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,6,46125.2557513568
MEX,ESTADOS  UNIDOS  MEXICANOS,2,11496.5228716049
ITA,REPÚBLICA  ITALIANA,6,34776.423234274
AUS,AUSTRALIA,7,65099.8459118981
ARG,REPÚBLICA  ARGENTINA,3,13650.6046294524
AGO,REPÚBLICA  DE  ANGOLA,9,3000.44423053173
SAU,REINO  DE  ARABIA  SAUDITA,4,30447.8837074473
DZA,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,8,4342.63796796522
ARM,REPÚBLICA  DE  ARMENIA,4,7018.05150434798
AZE,REPÚBLICA  DE  AZERBAIYÁN,4,7762.0738285884
BGD,REPÚBLICA  POPULAR  DE  BANGLADESH,4,2688.30550090738
BRB,BARBADOS,1,20238.7842420154
BEL,Reino  de  Bélgica,6,49926.8254295305
BGR,REPÚBLICA  DE  BULGARIA,5,13974.4492487792
CZE,REPÚBLICA  CHECA,5,27223.0451937676
COL,REPÚBLICA  DE  COLOMBIA,3,6624.16539269075
KOR,REPÚBLICA  DE  COREA,4,32422.5744864287
CUB,REPÚBLICA  DE  CUBA,1,56495.8534866201
DNK,REINO  DE  DINAMARCA,6,67790.0539923276
DOM,REPÚBLICA  DOMINICANA,1,10111.2457110261
ARE,EMIRATOS  ÁRABES  UNIDOS,4,53707.9800809111
EGY,REPÚBLICA  ÁRABE  DE  EGIPTO,8,4295.40749561014
ETH,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,9,1027.58591095964
PHL,REPÚBLICA  DE  FILIPINAS,4,3498.5098055874
FIN,REPÚBLICA  DE  FINLANDIA,6,50916.2804653208
FRA,REPÚBLICA  FRANCESA,6,40886.2532680273
RUS,FEDERACIÓN  DE  RUSIA,5,15270.7060546875
GRC,REPÚBLICA  HELÉNICA,6,20867.2690861087
GTM,REPÚBLICA  DE  GUATEMALA,1,5473.20856444589
GUY,REPÚBLICA  COOPERATIVA  DE  GUYANA,1,18199.4748396968
HTI,REPÚBLICA  DE  HAITÍ,1,1748.25713229469
HND,REPÚBLICA  DE  HONDURAS,1,3040.17304596842
IRN,REPÚBLICA  ISLÁMICA  DE  IRÁN,4,4669.57137993878
IRL,IRLANDA,6,103983.29133582
IDN,REPÚBLICA  DE  INDONESIA,4,4787.99930771921
JAM,JAMAICA,1,6047.2164567796
JPN,日本国  (JAPÓN),4,33823.5707344332
KEN,REPÚBLICA  DE  KENYA,9,2099.30193826696
KWT,ESTADO  DE  KUWAIT,4,41079.5226998138
LBY,ESTADO  DE  LIBIA,8,6716.09598462328
LCA,SANTA  LUCÍA,1,13030.9284804245
MAR,REINO  DE  MARRUECOS,8,3441.99145507813
MOZ,REPÚBLICA  DE  MOZAMBIQUE,9,558.298606448221
MYS,MALASIA,4,11993.1876132994
NIC,REPÚBLICA  DE  NICARAGUA,1,2255.42599496242
NGA,REPÚBLICA  FEDERAL  DE  NIGERIA,9,2162.63373428577
NOR,REINO  DE  NORUEGA,6,106177.197179078
NZL,NUEVA  ZELANDIA,7,48418.5916631992
CHE,Confederación  Suiza,6,93259.9057183024
PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,4,1588.8798287911
NLD,REINO  DE  LOS  PAÍSES  BAJOS,6,57025.01245598
PAN,REPÚBLICA  DE  PANAMÁ,1,17357.628633794
POL,REPÚBLICA  DE  POLONIA,5,18688.0044867103
PRT,REPÚBLICA  PORTUGUESA,6,24515.2658507319
QAT,ESTADO  DE  QATAR,4,87661.4501457275
CRI,REPÚBLICA  DE  COSTA  RICA,1,13365.3563992692
ROU,RUMANIA,5,15786.8017421977
SLV,REPÚBLICA  DE  EL  SALVADOR,1,5127.32166823012
SEN,REPÚBLICA  DE  SENEGAL,9,1598.72643336012
SRB,REPÚBLICA  DE  SERBIA,5,9537.68286673128
SGP,REPÚBLICA  DE  SINGAPUR,4,82807.6290622897
SWE,REINO  DE  SUECIA,6,56373.7885792007
SUR,REPÚBLICA  DE  SURINAME,3,5858.82466074423
THA,REINO  DE  TAILANDIA,4,6909.9562847948
AUT,REPÚBLICA  DE  AUSTRIA,6,52084.6811953372
TTO,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,1,19629.4653400829
TUN,REPÚBLICA  TUNECINA,8,3747.41939149283
UKR,UCRANIA,5,4533.9755859375
HUN,HUNGRÍA,5,18390.1849993244
VNM,REPÚBLICA  SOCIALISTA  DE  VIETNAM,4,4163.51429874522
PSE,ESTADO  DE  PALESTINA,4,3789.32796575153
